Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
0.0,0.0,0.0,0.597742168,-0.733573982,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.932467101,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,34.0664
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,2.009133392,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,40.2703
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,2.05723946,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,49.7297
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,2.017001124,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,46.7568
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,1.933402056,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,32.6966
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,2.083347631,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,66.4045
0.0,0.0,0.0,0.445210637,0.257681705,0.0,0.0,0.0,0.561928474,-0.08607823,-0.378517741,-0.794658949,2.158320418,0.0,-1.071544494,0.0,-0.33824966,-0.568451427,71.7978
0.0,0.0,0.0,1.455732029,0.0,0.0,0.0,0.0,-1.858665459,-0.811202262,1.595096188,-0.794658949,-0.08792603,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,26.95
0.0,0.0,0.0,1.455732029,0.0,0.0,0.0,0.0,-1.858665459,-0.811202262,1.595096188,-0.794658949,0.029163823,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,40.36
0.0,0.0,0.0,1.455732029,0.0,0.0,0.0,0.0,-1.858665459,-0.811202262,1.595096188,-0.794658949,0.211744611,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,15.77
0.0,0.0,0.0,1.455732029,0.0,0.0,0.0,0.0,-1.858665459,-0.811202262,1.595096188,-0.794658949,0.341844448,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,32.34
0.0,0.0,0.0,1.455732029,0.0,0.0,0.0,0.0,-1.858665459,-0.811202262,1.595096188,-0.794658949,0.511415252,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,19.47
0.0,0.0,0.0,1.455732029,0.0,0.0,0.0,0.0,-1.858665459,-0.811202262,1.595096188,-0.794658949,0.654525072,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,37.44
0.0,0.0,0.0,1.455732029,0.0,0.0,0.0,0.0,-1.858665459,-0.811202262,1.595096188,-0.794658949,0.797634892,0.0,-1.110291473,0.0,-0.33824966,-0.568451427,47.09
