IDX,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,SrO,Mn2O3,LOI,Fine modulus (m2/kg),Specific gravity,Cement (kg/m3),FA (kg/m3),GGBFS (kg/m3),SF (kg/m3),Kaolin (kg/m3),Other SCM (kg/m3),Na2O (l),Sio2 (l),H2O,Superplasticizer,water -eff,Initial curing time (day),Initial curing temp (C),Initial curing rest time (day),Final curing temp (C),Cube D (mm),f_c 28d (MPA)
1320,0.208972998208345,0.726178427771699,-0.372916231927101,-0.638585137178977,0.143333710331145,0.0403147159859771,3.77740096808944,0.937595670889735,-0.0343873864456473,0,0,0,0,0,0,0,-0.641576521502235,0,0,0,0,-1.69902506115942,-0.869212184551342,1.63995104989412,-0.794658949120436,-0.056662377469988,-0.222346363503612,1.05953936314972,0,-0.33824966007582,-0.568451427252854,49.1
1321,-0.417292568094718,-1.04351768046392,0.864273073614037,-0.177565927117037,2.40027374872122,2.90790894812609,-0.0412636664292598,-0.867993580741668,2.05167359110047,-0.600158314892931,0,0,-0.553907153264426,0,0,0,-3.31087831366506,0,0,0,0.61196917575203,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,15.5
1322,0.133409500302294,-1.27964182274909,0.658748473571496,-0.267016882027853,2.04462759560273,2.54074029302592,-0.157394607586578,-0.871116166426077,1.6479198535109,-0.646105113801601,0,0,-0.62112488549318,0,0,0,-2.9448026393113,0,0,0,0.331039519092779,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,10
1323,0.684111568699308,-1.51576596503426,0.453223873528954,-0.356467836938669,1.68898144248424,2.17357163792575,-0.273525548743896,-0.874238752110485,1.24416611592133,-0.69205191271027,0,0,-0.688342617721934,0,0,0,-2.57872696495754,0,0,0,0.0501098624335269,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,8.75
1324,1.23481363709632,-1.75189010731943,0.247699273486413,-0.445918791849485,1.33333528936575,1.80640298282558,-0.389656489901214,-0.877361337794893,0.840412378331756,-0.737998711618939,0,0,-0.755560349950688,0,0,0,-2.21265129060379,0,0,0,-0.230819794225724,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,3
1325,1.78551570549333,-1.9880142496046,0.0421746734438708,-0.535369746760302,0.977689136247254,1.43923432772541,-0.505787431058532,-0.880483923479302,0.436658640742185,-0.783945510527609,0,0,-0.822778082179442,0,0,0,-1.84657561625003,0,0,0,-0.511749450884976,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,4.25
1326,2.33621777389035,-2.22413839188977,-0.163349926598671,-0.624820701671118,0.622042983128763,1.07206567262524,-0.62191837221585,-0.88360650916371,0.0329049031526145,-0.829892309436278,0,0,-0.889995814408196,0,0,0,-1.48049994189627,0,0,0,-0.792679107544228,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,3.5
1327,-0.341162806765824,-0.764972699855023,0.72811812679565,-0.26120721769012,2.06067590319447,2.62416487110781,-0.0721703094782012,-0.871116166426077,1.69334214898972,-0.646105113801601,0,0,-0.523659173761487,0,0,0,-2.9448026393113,0,0,0,0.331039519092779,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,16
1328,-0.265033045436929,-0.486427719246131,0.591963179977262,-0.344848508263203,1.72107805766772,2.34042079408953,-0.103076952527143,-0.874238752110485,1.33501070687898,-0.69205191271027,0,0,-0.493411194258547,0,0,0,-2.57872696495754,0,0,0,0.0501098624335269,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,18.5
1329,-0.188903284108035,-0.207882738637239,0.455808233158874,-0.428489798836287,1.38148021214098,2.05667671707125,-0.133983595576084,-0.877361337794893,0.976679264768236,-0.737998711618939,0,0,-0.463163214755608,0,0,0,-2.21265129060379,0,0,0,-0.230819794225724,-0.707769570355911,-0.013565827322081,0.518579499414525,0.247938532586426,-0.532227997331437,0,-1.07154449361813,0,-0.33824966007582,-0.568451427252854,20.5
